2, 0, True, 0.00978398323059082, 4, 12, 1, 0.0, [], 0, 0
4, 0, True, 0.006781816482543945, 12, 24, 0, 0.0, [], 0, 0
8, 0, True, 0.012741804122924805, 28, 48, 0, 0.0, [], 0, 0
16, 0, True, 0.04543733596801758, 60, 96, 0, 0.0, [], 0, 0
32, 0, True, 0.07204031944274902, 124, 192, 0, 0.0, [], 0, 0
64, 0, True, 0.0954890251159668, 252, 384, 0, 0.0, [], 0, 0
128, 0, True, 0.16568279266357422, 508, 768, 0, 0.0, [], 0, 0
256, 0, True, 0.31614112854003906, 1020, 1536, 0, 0.0, [], 0, 0
512, 0, True, 0.6681170463562012, 2044, 3072, 0, 0.0, [], 0, 0
1024, 0, True, 1.9684028625488281, 4092, 6143, 6, 0.0, [], 0, 0
