2, 0, True, 0.002357959747314453, 8, 24, 0, 0.0, []
4, 0, True, 0.008479118347167969, 24, 48, 0, 0.0, []
8, 0, True, 0.0188138484954834, 56, 96, 0, 0.0, []
16, 0, True, 0.04018902778625488, 120, 192, 0, 0.0, []
32, 0, True, 0.08120083808898926, 248, 384, 0, 0.0, []
64, 0, True, 0.17571187019348145, 504, 768, 0, 0.0, []
128, 0, True, 0.35063886642456055, 1016, 1536, 1, 0.0, []
256, 0, True, 0.7732090950012207, 2040, 3072, 0, 0.0, []
512, 0, True, 2.01261305809021, 4347, 6600, 6, 0.0, []
1024, 0, True, 5.523711919784546, 8184, 12288, 2, 0.0, []
